vineyard_field_id,smoke_days,smoke_density_weighted_days,max_density_weight,area_ha,ha_smoke_days
VYD_00001,8,15,3,1.8352836746451995,14.682269397161596
VYD_00002,8,16,3,2.4622135129510383,19.697708103608306
VYD_00003,8,15,3,4.60839413801227,36.86715310409816
VYD_00004,8,15,3,1.9344301977609364,15.475441582087491
VYD_00005,8,15,3,1.6916960693566547,13.533568554853238
VYD_00006,8,15,3,0.567219089822362,4.537752718578896
VYD_00007,8,16,3,2.4096853542765633,19.277482834212506
VYD_00008,8,15,3,0.2688418235996939,2.150734588797551
VYD_00009,8,15,3,1.8861235973576553,15.088988778861243
VYD_00010,8,16,3,4.030095119241054,32.24076095392843
VYD_00011,8,16,3,2.322014067453328,18.576112539626624
VYD_00012,8,15,3,2.5549712958838913,20.43977036707113
VYD_00013,8,15,3,0.9914111032401257,7.931288825921006
VYD_00014,8,16,3,2.293538030106458,18.348304240851665
VYD_00015,8,15,3,0.5118041288885397,4.094433031108317
VYD_00016,8,15,3,2.406220811625472,19.249766493003776
VYD_00017,8,15,3,0.1953970893874457,1.5631767150995657
VYD_00018,8,15,3,0.5796589820298786,4.637271856239029
VYD_00019,8,16,3,3.585653534849885,28.68522827879908
VYD_00020,8,16,3,2.272130698828983,18.177045590631863
VYD_00021,7,16,3,0.42428925315348925,2.970024772074425
VYD_00022,7,16,3,0.19451575344343391,1.3616102741040375
VYD_00023,7,16,3,0.06243907574592356,0.43707353022146495
VYD_00024,7,16,3,0.34091962481112176,2.386437373677852
VYD_00025,7,16,3,0.9956941388799043,6.96985897215933
VYD_00026,7,16,3,1.6191402149176364,11.333981504423456
VYD_00027,7,16,3,0.05990978017160636,0.4193684612012445
VYD_00028,7,16,3,0.07771175948594067,0.5439823164015847
VYD_00029,7,16,3,0.26707225685855773,1.8695057980099041
VYD_00030,7,13,3,0.22987430574510873,1.609120140215761
VYD_00031,7,16,3,0.09364593985896348,0.6555215790127443
VYD_00032,7,16,3,0.5529576472046428,3.8707035304324995
VYD_00033,7,16,3,2.8582197596283185,20.00753831739823
VYD_00034,7,16,3,0.2254855200781062,1.5783986405467434
VYD_00035,7,16,3,0.6810150338723354,4.767105237106348
VYD_00036,7,16,3,0.41306120991905454,2.891428469433382
VYD_00037,7,16,3,1.4956503684488072,10.46955257914165
VYD_00038,7,16,3,0.6938460849673619,4.856922594771533
VYD_00039,7,16,3,0.29108085401892997,2.03756597813251
