vineyard_field_id,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,area_ha,in_perimeter,recov_2020_ratio,recov_2021_ratio,drop_2019_2020,drop_2019_2021
VYD_00001,0.4741851095390256,0.3730282287625812,0.36028264712688524,0.3556299685004229,0.35389914184273347,0.3301680027952768,0.3286173061765754,1.8352836746451995,0,0.9329437790555526,0.9285620317288228,-0.023731139047456662,-0.025281835666158048
VYD_00002,0.596188959312983,0.5650088324170643,0.49354130643320787,0.49409678756998465,0.49267955880341335,0.4707465214000036,0.42183761614867155,2.4622135129510383,0,0.9554821445065039,0.8562109156166375,-0.02193303740340974,-0.07084194265474181
VYD_00003,0.5762861635048461,0.41466093124930825,0.42096329691542655,0.4362302401491166,0.4352576448665426,0.470033564962097,0.38543371409813687,4.60839413801227,0,1.0798973217488628,0.8855300272010556,0.03477592009555436,-0.049823930768405744
VYD_00004,0.5057859255736742,0.389474749205811,0.36301598932771373,0.3626860826097645,0.35991265825393937,0.33537112328703245,0.335545494827022,1.9344301977609364,0,0.9318125261668584,0.9322970090990106,-0.02454153496690692,-0.02436716342691736
VYD_00005,0.4773421278031655,0.3705709695607211,0.33456687037073135,0.35609187989003965,0.3579952875311678,0.3342202842226954,0.32592666206944243,1.6916960693566547,0,0.9335885020374673,0.9104216547573034,-0.02377500330847243,-0.0320686254617254
VYD_00006,0.47120585048077984,0.38538335743096347,0.3404293108721075,0.36284313115727373,0.3637509658865261,0.35126732623389617,0.32773595051733595,0.567219089822362,0,0.9656808068613506,0.9009899113768258,-0.012483639652629941,-0.03601501536919016
VYD_00007,0.3968957599049321,0.297014467593395,0.3251780324573816,0.32729714170412477,0.34183769441722706,0.3165922391228567,0.3180376000705403,2.4096853542765633,0,0.9261478306615384,0.9303760388763981,-0.025245455294370334,-0.02380009434668673
VYD_00008,0.23232149522758355,0.2090798848544422,0.1726620641277462,0.24316342356860746,0.23972793612866672,0.23723803822270076,0.2539444939862726,0.2688418235996939,0,0.9896136514326408,1.0593028834569185,-0.00248989790596596,0.014216557857605894
VYD_00009,0.5296137401863082,0.464832843876796,0.43131363714799054,0.44409162066297814,0.43338538328755083,0.43415705667605975,0.3950319905084959,1.8861235973576553,0,1.0017805708689462,0.9115028003756936,0.00077167338850892,-0.03835339277905492
VYD_00010,0.4894649738698551,0.5083865342465966,0.4856813743413362,0.456733331237797,0.48945830326948697,0.45615477367995316,0.41621952031089093,4.030095119241054,0,0.931958392845575,0.8503676769412735,-0.03330352958953381,-0.07323878295859604
