seg_id,signed_dist_m,vineyard,x,y,dnbr,elev_m,slope_deg,northness,eastness
0,-300.0,0,509859.5561706136,4283171.042513702,0.3215162754058838,61.086448669433594,0.7220665812492371,0.8658316731452942,-0.4314746856689453
0,-150.0,0,509780.7168853063,4283043.432298233,0.02142135612666607,62.12330627441406,0.666029691696167,0.4740935266017914,-0.7124170064926147
0,-100.0,0,509754.43712353724,4283000.895559742,0.00195959210395813,69.05863189697266,11.62472152709961,0.8690024018287659,0.4419870674610138
0,-60.0,0,509733.41331412195,4282966.866168951,-0.017941489815711975,70.98058319091797,1.5167824029922485,0.4732948839664459,0.741197407245636
0,-30.0,0,509717.6454570605,4282941.344125857,-0.008161842823028564,70.6490707397461,5.303703308105469,-0.418377161026001,-0.08782551437616348
0,0.0,1,509701.877599999,4282915.822082763,-0.1716993749141693,75.25914764404297,7.360886573791504,0.9501814842224121,0.29335924983024597
0,30.0,1,509686.10974293755,4282890.300039669,0.14303307235240936,77.97954559326172,6.913620948791504,0.9647843241691589,0.25712957978248596
0,60.0,1,509670.3418858761,4282864.7779965745,0.08647726476192474,81.56708526611328,8.357956886291504,0.9158140420913696,0.37777456641197205
0,100.0,1,509649.3180764608,4282830.748605783,-0.01735055446624756,95.19003295898438,23.150869369506836,0.9473544955253601,0.23582124710083008
0,150.0,1,509623.03831469174,4282788.211867292,-0.0009077191352844238,110.29081726074219,18.613554000854492,0.9861512780189514,0.10763344913721085
0,300.0,1,509544.1990293844,4282660.601651823,-0.025269806385040283,106.16460418701172,19.85921859741211,-0.3749791085720062,0.8772828578948975
1,-300.0,0,509730.63788056053,4282536.959209254,-0.04789614677429199,73.25843048095703,2.621765375137329,0.5506391525268555,-0.2405390739440918
1,-150.0,0,509717.16167274583,4282686.352622171,0.003872692584991455,111.00820922851562,16.82620620727539,-0.9260008335113525,0.3475898802280426
1,-100.0,0,509712.66960347426,4282736.150426476,0.038779616355895996,118.08401489257812,8.196245193481445,-0.36959904432296753,0.8722199201583862
1,-60.0,0,509709.075948057,4282775.988669921,-0.02921295166015625,113.96713256835938,17.46445655822754,0.9905661940574646,0.028763066977262497
1,-30.0,0,509706.3807064941,4282805.867352504,0.014508545398712158,95.18360900878906,28.07073974609375,0.9938212633132935,0.05455552414059639
1,0.0,1,509703.6854649311,4282835.746035088,-0.048013895750045776,85.91777038574219,18.84760284423828,0.9563471674919128,0.25729691982269287
