group,year,mean_ndvi,sem_ndvi,n
inside,2018,0.4108618395621476,0.0021377865538484,1327
inside,2019,0.4281530421481611,0.0022859102397871,1327
inside,2020,0.3777716692104206,0.0020325389024924,1327
inside,2021,0.340656695244002,0.0019094779639204,1327
outside,2018,0.4115742848090249,0.0016144261577391,3254
outside,2019,0.4327046485024705,0.0017192347572992,3254
outside,2020,0.3883305403868305,0.0015900189715588,3254
outside,2021,0.3586866469780989,0.0013634973707536,3254
