feature,x_val,partial_effect,ci_lo,ci_hi
x_norm,-2.501424368422079,-0.016112888459188884,-0.04581837247481924,0.013592595556441475
x_norm,-2.453724774804334,-0.022243068107247608,-0.045791893617326204,0.001305757402830992
x_norm,-2.4060251811865885,-0.02895803941196042,-0.047599801198507555,-0.010316277625413279
x_norm,-2.358325587568843,-0.036069779851129524,-0.051489774621313544,-0.020649785080945504
x_norm,-2.310625993951098,-0.043390266902557165,-0.05741283119699052,-0.02936770260812381
x_norm,-2.2629264003333525,-0.05073147804404554,-0.06463253517419014,-0.036830420913900944
x_norm,-2.215226806715607,-0.057905194721693545,-0.07201205609754402,-0.04379833334584307
x_norm,-2.167527213097862,-0.06466589904075097,-0.07867634724899034,-0.0506554508325116
x_norm,-2.1198276194801164,-0.0706314680509588,-0.0842547500117867,-0.05700818609013089
x_norm,-2.072128025862371,-0.07539985617264988,-0.08855983621606306,-0.062239876129236704
x_norm,-2.0244284322446258,-0.07856901782615698,-0.09134732206535047,-0.06579071358696349
x_norm,-1.9767288386268804,-0.07973690743181291,-0.09219448015207414,-0.06727933471155169
x_norm,-1.9290292450091353,-0.0785103163593024,-0.09053257695669231,-0.0664880557619125
x_norm,-1.88132965139139,-0.07495846208259281,-0.08635679301843777,-0.06356013114674786
x_norm,-1.8336300577736446,-0.06983084352854102,-0.08061803841106188,-0.05904364864602015
x_norm,-1.7859304641558993,-0.0639314132332051,-0.07435291360744231,-0.05350991285896789
x_norm,-1.738230870538154,-0.05806412373264308,-0.06842292684917677,-0.047705320616109395
x_norm,-1.6905312769204086,-0.05303292756291295,-0.06344422908200624,-0.042621626043819666
x_norm,-1.6428316833026633,-0.049610594929241233,-0.05989185994927432,-0.03932932990920815
x_norm,-1.595132089684918,-0.04794282749091378,-0.05787524096446384,-0.03801041401736373
x_norm,-1.5474324960671726,-0.04759458272930139,-0.05721142106856722,-0.03797774439003557
x_norm,-1.4997329024494273,-0.04810891777819492,-0.05765193874757331,-0.03856589680881653
x_norm,-1.452033308831682,-0.04902888977138524,-0.05873140500525667,-0.03932637453751381
x_norm,-1.4043337152139366,-0.0498975558426632,-0.05976280452555008,-0.04003230715977632
x_norm,-1.3566341215961915,-0.0502788440266251,-0.06003865190218824,-0.04051903615106196
x_norm,-1.3089345279784461,-0.049947770745237756,-0.059374357797627314,-0.0405211836928482
x_norm,-1.2612349343607008,-0.048801920650429424,-0.057922524751124284,-0.039681316549734565
x_norm,-1.2135353407429554,-0.04674038815257781,-0.055767572886308,-0.037713203418847624
x_norm,-1.16583574712521,-0.04366226766206064,-0.052786783098907226,-0.034537752225214054
x_norm,-1.1181361535074648,-0.03946665358925564,-0.04866542185758751,-0.030267885320923775
x_norm,-1.0704365598897194,-0.034127721203713275,-0.043166032901239666,-0.025089409506186884
x_norm,-1.022736966271974,-0.028048285180773826,-0.03678835657536933,-0.01930821378617832
x_norm,-0.9750373726542287,-0.021783034870021274,-0.03031992375621314,-0.013246145983829406
x_norm,-0.9273377790364834,-0.015886837590483458,-0.02444620404642098,-0.0073274711345459355
x_norm,-0.8796381854187381,-0.010914560661188325,-0.019646249830966238,-0.0021828714914104135
x_norm,-0.8319385918009927,-0.007421036373885535,-0.016247216047767615,0.0014051432999965434
x_norm,-0.7842389981832474,-0.005756958042725004,-0.014438907414921508,0.0029249913294715005
x_norm,-0.736539404565502,-0.005588130610372729,-0.014027400071101304,0.002851138850355847
x_norm,-0.6888398109477567,-0.00643688728781171,-0.014745315367621699,0.0018715407919982783
x_norm,-0.6411402173300114,-0.007825561286024938,-0.016202954612513337,0.0005518320404634611
x_norm,-0.593440623712266,-0.009276485815995395,-0.017820592930676345,-0.000732378701314448
x_norm,-0.5457410300945209,-0.010313846009673085,-0.01890731727415803,-0.0017203747451881388
x_norm,-0.49804143647677535,-0.010722398066316682,-0.01914996014087038,-0.002294835991762988
x_norm,-0.45034184285903,-0.010813885445354336,-0.01902479312842363,-0.0026029777622850383
x_norm,-0.40264224924128467,-0.010963624580659187,-0.019090183491872505,-0.00283706566944587
x_norm,-0.3549426556235393,-0.011546931906104393,-0.019769314957854462,-0.0033245488543543235
x_norm,-0.307243062005794,-0.012939123855563095,-0.021313843074377226,-0.004564404636748962
x_norm,-0.25954346838804865,-0.015502986710323421,-0.023888098231137606,-0.007117875189509236
