vineyard_field_id,area_ha,in_perimeter,dist_nearest_node_m,dist_nearest_deadend_m,dist_major_road_m
VYD_00001,1.8352836746451995,0,635.2151733200255,635.2151733200255,864.234890168852
VYD_00002,2.4622135129510383,0,902.597519395259,902.597519395259,946.7961069795144
VYD_00003,4.60839413801227,0,221.36580489125853,358.87165913825834,227.99316913185558
VYD_00004,1.9344301977609364,0,777.3670810142116,777.3670810142116,854.6742860120105
VYD_00005,1.6916960693566547,0,602.889384315833,602.889384315833,996.6237490572785
VYD_00006,0.567219089822362,0,691.9551520260826,693.884974664844,759.0385909984078
VYD_00007,2.4096853542765633,0,901.4742049472658,901.4742049472658,1174.2559993356658
VYD_00008,0.2688418235996939,0,45.95114215785881,356.78377154682795,38.463595270533574
VYD_00009,1.8861235973576553,0,739.4900785293711,800.1931141292365,731.5761026573088
VYD_00010,4.030095119241054,0,1037.90300650737,1044.1019711224117,1340.348550717076
VYD_00011,2.322014067453328,0,782.1441491665797,782.1441491665797,1055.2211677297914
VYD_00012,2.5549712958838913,0,272.2029429527518,272.2029429527518,270.90016550611404
VYD_00013,0.9914111032401257,0,572.4910341191297,572.4910341191297,718.5339691389755
VYD_00014,2.293538030106458,0,371.35904438815476,371.35904438815476,772.3637929704178
VYD_00015,0.5118041288885397,0,642.09189727396,791.9351298808701,636.652505726441
VYD_00016,2.406220811625472,0,210.2415947679869,445.1746135239032,209.29741371142146
VYD_00017,0.1953970893874457,0,713.0894925892227,713.0894925892227,956.3779640292653
VYD_00018,0.5796589820298786,0,440.3435313607149,440.3435313607149,596.5875957691176
VYD_00019,3.585653534849885,0,301.55929888788455,301.55929888788455,782.1063796121738
VYD_00020,2.272130698828983,0,1002.7600920793059,1002.7600920793059,1065.2948074651194
VYD_00021,0.42428925315348925,0,1064.6217325632122,2107.915849744363,598.8593773794505
VYD_00022,0.19451575344343391,0,1255.3596391326098,1255.3596391326098,119.43359686660718
VYD_00023,0.06243907574592356,0,659.431128286248,2154.0870254134597,381.0489978776304
VYD_00024,0.34091962481112176,0,1089.524421778037,1089.524421778037,326.34942268032023
VYD_00025,0.9956941388799043,0,1210.9646900356922,2066.5520422962272,680.4443265368448
VYD_00026,1.6191402149176364,0,1071.1632635441954,1071.1632635441954,264.8930107673033
VYD_00027,0.05990978017160636,0,1163.6302187043666,1163.6302187043666,505.9052599997368
VYD_00028,0.07771175948594067,0,1093.9520117206323,1093.9520117206323,16.260595080840602
VYD_00029,0.26707225685855773,0,1114.5490585996586,1114.5490585996586,446.91780300183046
VYD_00030,0.22987430574510873,0,3105.080865747179,3105.080865747179,4884.049446957805
VYD_00031,0.09364593985896348,0,1147.324887964063,1147.324887964063,349.22005395277847
VYD_00032,0.5529576472046428,0,1089.9370975527256,1089.9370975527256,395.6072429094595
VYD_00033,2.8582197596283185,0,632.384878528165,1600.4539674602913,326.9656874556941
VYD_00034,0.2254855200781062,0,1306.8420877265992,1306.8420877265992,332.285736527312
VYD_00035,0.6810150338723354,0,988.135467614117,1075.9476091354793,861.2502333728202
VYD_00036,0.41306120991905454,0,1402.7962429715974,1402.7962429715974,496.41289634636087
VYD_00037,1.4956503684488072,0,1195.8060823173982,1195.8060823173982,411.0995572228634
VYD_00038,0.6938460849673619,0,714.6303897272588,2008.5889565198936,220.66636494358727
VYD_00039,0.29108085401892997,0,1239.9324069796326,1910.6230600612496,571.568233961837
VYD_00040,0.2578040154396805,0,3175.3909680180827,3175.3909680180827,4953.273699809682
VYD_00041,0.4241790982042438,0,1026.1337151036737,1026.1337151036737,269.7247826093942
VYD_00042,1.6009068381968194,0,1092.790513088202,1218.4285722441446,732.6712771111081
VYD_00043,5.221259139084544,0,1054.7563762576015,1996.4360612991334,474.6251156209399
VYD_00044,0.049746123987645885,0,1163.2122949316006,1163.2122949316006,98.6444302521141
VYD_00045,0.5588611038409188,0,910.6317136374446,910.6317136374446,127.10078647440456
VYD_00046,0.16790412004381888,0,923.4311978339265,1035.5519499761529,884.1107450389441
VYD_00047,0.20441651418480744,0,962.8508844441898,2120.81256087842,532.7577448058195
VYD_00048,2.34892747437903,0,1159.7270423924256,1579.2042011396509,195.35624452268812
VYD_00049,0.10029403631069157,0,1260.6422265352564,1947.126424181622,623.7281283103887
VYD_00050,2.0676743901336057,0,873.1010719976896,1833.4048606186238,97.24714510068016
VYD_00051,1.5102882422032151,0,772.2227418840571,1948.216917690053,72.34955003154779
VYD_00052,0.607020433238956,0,546.1014818489836,1754.9081734172007,188.15023941564263
VYD_00053,0.7722027582294497,0,1118.6071837244035,1118.6071837244035,102.73091835909507
VYD_00054,0.04064047731744923,0,966.6156008695808,1756.9325030551427,22.284592029698885
VYD_00055,0.07926243633153757,0,180.78548418126178,180.78548418126178,1742.967022380912
VYD_00056,0.4791571565473684,0,1022.8056590924417,1707.7707495762095,74.84170692156846
VYD_00057,0.32968446809876906,0,1149.3070502627784,2110.561772838935,668.4861965390663
VYD_00058,0.12583334158486703,0,860.5326975619927,860.5326975619927,59.986250635419964
VYD_00059,0.8219288258493122,0,675.5212597648133,2035.447795834343,224.9314480360032
VYD_00060,0.7252498003383564,0,1271.90930768637,1338.3019014790577,736.3622644328203
VYD_00061,0.14728463775976566,0,1080.9463883411556,1672.7381078613453,156.71609648022988
VYD_00062,2.900628956890575,0,1141.7224911033716,1141.7224911033716,226.3871303275309
VYD_00063,0.025827657812060336,0,497.2436283806134,1839.0164199777776,113.3547658194385
VYD_00064,0.808686474163665,0,950.4003229248964,950.4003229248964,200.3023491358508
VYD_00065,0.13455379916264937,0,1162.7763383963782,2054.481478815916,628.7192914925749
VYD_00066,0.7869103996279541,0,636.1840292592627,2067.5184863931063,157.35676570841804
VYD_00067,2.5787131148970044,0,1299.2954956984493,1299.2954956984493,429.75430574389094
VYD_00068,1.3159374065144396,0,591.7028648536584,2006.5954209320678,66.7861452798332
VYD_00069,0.1563032567949481,0,438.84650566013437,438.84650566013437,2274.051950053438
VYD_00070,1.5942566959542241,0,474.35797689762654,474.35797689762654,2351.0981512933417
VYD_00071,6.784134881498995,0,181.08378569279006,181.08378569279006,2050.802174728913
VYD_00072,0.3124336805846575,0,129.7548450222787,129.7548450222787,1815.7143595882476
VYD_00073,0.28374895699826463,0,742.4576397317135,1962.1225008813292,200.30167221904105
VYD_00074,0.3061629741187651,0,709.0349281433943,1993.5752089439425,160.0118680705924
VYD_00075,0.0770229066566178,0,1177.859799793372,1181.8769395295926,1143.4477078541072
VYD_00076,0.5413378008385623,0,414.50801996311765,773.6698123317701,373.0552197293446
VYD_00077,0.3676571650886951,0,181.24755291727652,611.359464225702,630.7171909823671
VYD_00078,0.43831122955961743,1,359.1888198657682,359.1888198657682,2210.703116446027
VYD_00079,0.46993828689875955,0,183.86814690542428,337.03196541310433,135.0319811719115
VYD_00080,0.5899253384272877,0,226.11630911526822,709.9645197566252,4618.5919778843945
VYD_00081,0.04945489495465841,1,1448.2234338524884,1448.2234338524884,2136.950729027022
VYD_00082,0.34872667858596557,0,283.65326651825563,776.0390020242238,135.1819867318637
VYD_00083,0.12098338706456298,1,1520.5144068831921,1757.2324006485944,2476.5130619438037
VYD_00084,0.2925007562700153,0,147.9381807841329,411.8348124449805,737.2371346036842
VYD_00085,0.3691714283879826,1,1840.8958033109857,1840.8958033109857,3979.8392767385453
VYD_00086,0.10735487044946412,0,193.16271074008603,193.16271074008603,651.5681328620345
VYD_00087,0.10973549682015102,0,481.33442328777096,843.233035014797,417.2606406701205
VYD_00088,0.291768166952542,0,448.01306706982245,1708.38316601988,946.4025451770816
VYD_00089,0.334267866064757,0,101.23791434062203,164.91772772036757,399.89475918688635
VYD_00090,0.04071878981485793,0,63.15536280174509,260.25329210465617,361.4370497909103
VYD_00091,0.5639312997720254,1,76.97093147651668,397.78363807100766,1823.8017044295618
VYD_00092,0.21768440739440667,0,638.8939373829635,638.8939373829635,1868.174992195391
VYD_00093,0.347653246852671,1,650.2542617854326,650.2542617854326,1963.9709012555654
VYD_00094,0.4265630439068811,0,227.14068414228777,698.0083191038276,118.98100400827494
VYD_00095,0.11147545738180954,0,330.12312252578005,729.9475120305277,356.2807079085736
VYD_00096,0.39729225770713805,0,193.87009832474797,508.7709604932381,228.60012807977049
VYD_00097,0.5970375760285451,0,775.7051442777971,775.7051442777971,365.689833623417
VYD_00098,0.09775996059938985,0,630.4797780396799,1376.0281081192352,3141.2344999313395
VYD_00099,0.5321702873294015,1,1081.8215123268938,1081.8215123268938,1684.8234527285038
VYD_00100,0.17339315644805234,0,594.2743770571752,972.0339871061253,4210.868217097628
VYD_00101,0.582938466654789,1,825.2114904958723,825.2114904958723,1912.6490337200946
VYD_00102,0.515246014838334,0,258.5114921531532,440.69285782858617,113.05864801655638
VYD_00103,0.5382482654919434,0,146.27778730797846,167.0181278720967,38.13207664327431
VYD_00104,6.358813790685534,0,975.4240183657333,975.4240183657333,1232.3590014115134
VYD_00105,0.1277956521007162,0,712.2708890456624,981.4480245110842,131.99678939391347
VYD_00106,0.13979298103778942,0,248.44940175141286,292.4854456584681,279.26275251701225
VYD_00107,0.09242525242226461,0,2488.9039054497057,2488.9039054497057,3540.105615746875
VYD_00108,0.37286886005499975,0,326.9896611784585,493.50418975654367,63.07945500300184
VYD_00109,0.47329850375608173,1,290.2714184307052,290.2714184307052,2040.616689273531
VYD_00110,0.32736423453144353,0,724.2196157236893,724.2196157236893,1036.1572077956646
VYD_00111,0.3717344851097612,0,345.204859298412,548.5219599369286,259.52187090266506
VYD_00112,0.05828535605484037,1,306.7992670779115,306.7992670779115,186.2421070579132
VYD_00113,0.49487362795077733,1,143.64602731034398,143.64602731034398,4439.495106740412
VYD_00114,0.34489628562478614,0,148.1335959681968,626.4429295727078,94.44166575847609
VYD_00115,0.35760010854615515,0,112.16413588420964,262.4341903073663,106.40465364657456
VYD_00116,0.34276127641800846,1,439.83466238406317,690.5239014763994,411.4552216704223
VYD_00117,0.06849952084097224,0,911.5542720407936,1193.0079696775836,3662.5855215292104
VYD_00118,0.4246617058044461,0,111.7005263435,111.7005263435,1013.3625408402198
VYD_00119,0.2515829711270279,0,134.60970754349526,696.9446828375231,128.64233348590423
VYD_00120,0.33933065065937834,1,231.84964516174753,231.84964516174753,4662.741839418488
VYD_00121,0.24596998409125775,0,388.5691354556726,388.5691354556726,2055.10079347388
VYD_00122,0.10290080107923302,0,151.82826357362052,968.5514938523052,150.71943683739255
