variable,mean_vine,mean_wild,diff,t,p,bandwidth_m
elev_m,78.85843214154244,78.63588286081949,0.22254928072294433,0.21989121099905942,0.825959338193522,100
slope_deg,3.2242223140774295,4.476819011762738,-1.2525966976853087,-12.657163022151382,1.8968568063643635e-36,100
northness,-0.21644033957325065,-0.19928088180282308,-0.017159457770427572,-1.78956305397962,0.07354747802152459,100
eastness,-0.07238280791674696,-0.07857400491233178,0.006191196995584819,0.6450297858669868,0.5189191786656351,100
