bandwidth_m,n,n_segments,tau_vineyard,se_cluster,t,p,mean_y_vine,mean_y_wild
100,12000,2000,0.006770822152999126,0.004153754974074479,1.6300485212197116,0.10309124244233048,0.12918132848579747,0.11858027970557063
150,16000,2000,0.010171880059783069,0.004094181890143223,2.4844719489068026,0.012974372959203562,0.12763507822918474,0.11769144369247805
