bandwidth_m,n,n_segments,tau_vineyard,se_cluster,t,p,mean_y_vine,mean_y_wild
30,6000,2000,0.044620297773623994,0.0011447007450339978,38.97988008411645,0.0,0.10659370224288432,0.11639761752422782
60,10000,2000,-0.017658251304740396,0.003161041023575213,-5.586213900118415,2.32073369410557e-08,0.11582769808204224,0.11906792734398915
100,14000,2000,-0.016557446517271594,0.003056295630954941,-5.417488527475403,6.044202649491126e-08,0.11924544305339804,0.11858027970557063
150,18000,2000,-0.01145919514326605,0.0031483864010421136,-3.6397041797261815,0.0002729514327777238,0.11999561993458774,0.11769144369247805
300,22000,2000,-0.004342645550067459,0.0034013763958094054,-1.2767318416796578,0.20169693579507952,0.11860645151058755,0.11540477450247272
