date,tmmn,tmmx,rmin,rmax,vs,th,pr,sph,vpd,erc,bi,fm100,fm1000,etr
2019-10-10,280.3860906736394,298.7526040414382,3.484735756383216,37.57604704216747,4.148862776697586,195.0839963969374,0,0.002105321275935814,1.8520090756715548,64.03362858429666,55.720912775859475,7.590710877531052,11.37532651268707,8.840166665397772
2019-10-11,278.7612195280539,299.0473322150335,4.164213354300135,43.41402169101464,2.4141044816112145,162.49163038582785,0,0.0022929567626600615,1.7836278329747801,66.08219486563581,45.001238552769856,6.881924602062273,11.069163842917813,6.1984574282747396
2019-10-12,279.0706136990123,298.9534195901538,7.3388191965531515,53.91376272512794,2.2557611500665673,189.7344242606215,0,0.003062162208591426,1.6602150646214937,66.47526647650506,43.50773157183607,6.731143976041743,10.865057842453364,5.671160488153001
2019-10-13,278.02014709939965,297.39585623220694,14.116814344463679,71.74661111867455,3.7890331747653234,309.1590602011708,0,0.0040138965418522144,1.326809791775638,64.33951358654858,51.08407146074165,7.538860562452233,10.72427562757434,6.605299478034645
2019-10-14,279.6296519445703,297.85044184376795,15.691491499818351,71.33234098426145,3.7225529254422396,303.22898213481443,0,0.0043636878786770476,1.3636586084937286,63.6347019966972,50.13323825251463,8.149459567143026,10.602833636672159,6.5257394182451165
2019-10-15,278.6832387225795,297.7609923700189,15.657979249739464,74.91821396885966,2.720931550718575,286.8874793574538,0,0.004375110339472481,1.321145470094312,63.16735475153881,43.58350848220989,8.625960828538163,10.526039642679887,5.395871484821899
2019-10-16,278.7131975337453,295.0496184505548,31.114975330511417,95.96137599232071,4.142189619330347,291.7728944602913,0,0.006155920287446272,0.8063016074647096,55.431504278636844,45.74271881098933,11.040042794497046,10.80865106770914,4.680306999895635
2019-10-17,281.4702162525707,292.57533474681503,47.523990660740296,97.59574015980607,7.6774584000541175,306.65947305209403,0,0.007491906629750863,0.5085163628717446,48.238290046539575,57.18578291547817,13.511856311829018,11.182799148337653,4.3872504091856985
2019-10-18,281.5565067412097,293.5013637992288,37.84385995187659,88.9250675638666,5.427777390099916,309.99673472451593,0,0.006566291869667074,0.7246092909597771,47.326414952709825,47.016213781714484,14.442639994989944,11.461195780446696,4.831166482941736
2019-10-19,281.3399939990191,292.20478156707856,47.29412986601889,95.71394316188358,4.857641522822804,308.26369914427255,0.2856553119951639,0.00729940290131612,0.5068792193980389,40.50375319021168,33.4405869989491,15.857994314679653,11.890504430568429,3.505674814277719
2019-10-20,281.9693957793964,297.23809142686133,28.736589785614374,87.40527701352818,5.082070995479565,326.7805134364212,0,0.006607210959812309,1.0465271718942122,46.03531751989192,45.76580093079116,15.6370251766466,12.037464311935043,6.14772933273232
2019-10-21,284.40844428190286,302.3000540957402,18.104714056049946,75.20892108172163,4.766949393605706,343.0739753790721,0,0.006330170010017575,1.7321280547402456,49.44786818795977,47.45042035730371,14.278377888492951,12.03999775810081,8.322440325542715
2019-10-22,286.4263258394117,303.70439558110775,13.198119617192129,60.94938825204409,3.97008330326076,304.7518390632038,0,0.005583217244910157,2.128806114201252,53.0946929890407,46.19734274133012,12.43941597017936,11.936646130328025,8.412888485467965
2019-10-23,287.49769892948143,302.4689818495226,13.105592260237588,52.552803478876655,4.587933519369417,239.9759795826452,0,0.005174678344638997,2.0924759776567914,55.88928088875544,51.01951658910074,10.774215594602946,11.733106906198195,9.06002475062463
2019-10-24,286.94379509463545,303.59867831741144,2.836131958381816,31.56071545329292,4.65624154610885,118.83602311965167,0,0.0028197173845944164,2.5732982856896944,62.375319021167975,57.579117249662204,8.676088416796512,11.338395119858758,10.662430628554773
2019-10-25,284.591271558944,303.9410602527773,6.071006603748153,45.97250041108358,3.2215996058455034,205.68998648851533,0,0.0037544066249438363,2.3353951973897913,64.18056598108394,48.90515688335087,7.779349963920215,11.073254776723997,7.896100484721739
2019-10-26,281.277989016265,300.75985177725465,11.623817806379193,63.920304831003826,3.281053907161467,315.44625431616873,0,0.00435001312869279,1.7193717145737253,62.83677375769403,47.79972977030476,8.207502639055644,10.918071619115995,6.690725885091143
2019-10-27,279.8757854714227,291.75017928332636,10.252109285625782,40.97944378548602,8.160737918941237,188.03854526347394,0,0.0023617095891822148,1.2102567175633372,65.0173772706801,78.39611169494069,7.5274433250309825,10.628254072513329,9.024925002946524
2019-10-28,276.79133687508283,294.12939858361415,5.654440044242684,42.30207953125913,3.0195353661208446,186.50889506080165,0,0.0019492606205820367,1.341085046885465,68.28543011559827,49.89731271580845,6.942696263796932,10.385963082939924,5.627848650811041
2019-10-29,277.12910561532226,293.1786604536096,8.73912703607054,50.66010346868662,2.852064240213236,259.414239603663,0,0.002405805802461583,1.2235970555720357,67.58812490617026,48.033178201471266,7.267512381246827,10.287603242657523,5.104556367537259
2019-10-30,276.3860335453836,294.195205019573,3.919981984212724,39.98074589411323,4.193139182798249,101.66570334784562,0,0.001709341692404491,1.3893649567222295,70.29470049542111,59.3773457438823,6.71501649284198,10.076234778436593,7.120454876957273
2019-10-31,279.11407430843803,295.6522142472988,5.598551251726845,41.02235798384043,2.578163956928282,172.67305960066054,0,0.0022341401517632247,1.4964701302585581,70.88447680528449,48.014074463293795,6.54351075592028,9.890166611593417,5.300773131884962
2019-11-01,279.36559391980984,296.66677350415205,5.46804162171792,43.52817530568306,1.6945240823665269,112.44955712355494,0,0.0024434754554896894,1.5635906708766667,72.36098183455937,42.83317069509082,6.388079843870463,9.719584170055002,4.001324857226222
