id,longitude,latitude,time,tmmn,tmmx,rmin,rmax,vs,th,pr,sph,vpd,erc,bi,fm100,fm1000,etr
20191010,-122.76376672777381,38.78925396828094,1570687200000,284.6000061035156,296,1,19.200000762939453,3.799999952316284,190,0,0.0015399999683722854,1.850000023841858,75,68,5.699999809265137,9.899999618530273,8
20191011,-122.76376672777381,38.78925396828094,1570773600000,283.8999938964844,296.3999938964844,1,21.399999618530273,2.200000047683716,152,0,0.0016799999866634607,1.8300000429153442,78,56,4.800000190734863,9.5,5.599999904632568
20191012,-122.76376672777381,38.78925396828094,1570860000000,283.29998779296875,296.1000061035156,5.099999904632568,32.29999923706055,2.200000047683716,186,0,0.0026000000070780516,1.6399999856948853,78,55,4.5,9.300000190734863,5.300000190734863
20191013,-122.76376672777381,38.78925396828094,1570946400000,282.3999938964844,294.3999938964844,13.100000381469727,46.400001525878906,3.700000047683716,319,0,0.003640000009909272,1.309999942779541,76,64,4.900000095367432,9,6.300000190734863
20191014,-122.76376672777381,38.78925396828094,1571032800000,284.5,296.29998779296875,11.600000381469727,42.5,3.700000047683716,311,0,0.003809999907389283,1.5299999713897705,77,65,5.099999904632568,8.800000190734863,6.800000190734863
20191015,-122.76376672777381,38.78925396828094,1571119200000,283.3999938964844,296.1000061035156,13.399999618530273,48.599998474121094,2.700000047683716,302,0,0.004089999943971634,1.4199999570846558,77,57,5.400000095367432,8.600000381469727,5.400000095367432
20191016,-122.76376672777381,38.78925396828094,1571205600000,279.5,293,33,93.5999984741211,3.9000000953674316,300,0,0.006289999932050705,0.699999988079071,66,56,8.699999809265137,9,4.199999809265137
20191017,-122.76376672777381,38.78925396828094,1571292000000,280.1000061035156,289.20001220703125,57.400001525878906,100,7.599999904632568,312,0,0.007770000025629997,0.25,54,67,12.300000190734863,9.5,2.799999952316284
20191018,-122.76376672777381,38.78925396828094,1571378400000,282.3999938964844,290.8999938964844,42.5,82.9000015258789,5.199999809265137,315,0,0.00674000009894371,0.6000000238418579,53,54,13.699999809265137,9.800000190734863,4.099999904632568
20191019,-122.76376672777381,38.78925396828094,1571464800000,282.1000061035156,290,53.099998474121094,95.5,4.800000190734863,315,0.30000001192092896,0.007660000119358301,0.38999998569488525,45,46,15.699999809265137,10.399999618530273,3
20191020,-122.76376672777381,38.78925396828094,1571551200000,283.3999938964844,294.20001220703125,34.20000076293945,80.19999694824219,5.199999809265137,328,0,0.0069599999114871025,0.8399999737739563,51,54,14.899999618530273,10.600000381469727,5.300000190734863
20191021,-122.76376672777381,38.78925396828094,1571637600000,287.79998779296875,298.79998779296875,21.200000762939453,56.900001525878906,4.699999809265137,343,0,0.006459999829530716,1.5199999809265137,56,56,12.899999618530273,10.5,7.300000190734863
20191022,-122.76376672777381,38.78925396828094,1571724000000,291.29998779296875,299.79998779296875,15.600000381469727,40.79999923706055,4,323,0,0.005619999952614307,1.9600000381469727,61,56,10.699999809265137,10.399999618530273,7.599999904632568
20191023,-122.76376672777381,38.78925396828094,1571810400000,290.6000061035156,299.20001220703125,14.300000190734863,39,4.400000095367432,241,0,0.0051299999468028545,1.9199999570846558,64,60,9.199999809265137,10.199999809265137,8.100000381469727
